source,target,r_max_vis_prob,r_max_vis_node,r_max_vis_prob_2,r_max_vis_node_2,r_average_vis_prob,r_median_vis_prob,r_stdev_vis_prob,r_max_vis_prob_rev,r_max_vis_node_rev,r_max_vis_prob_2_rev,r_max_vis_node_2_rev,r_average_vis_prob_rev,r_median_vis_prob_rev,r_stdev_vis_prob_rev,nb_max_vis_prob,nb_max_vis_node,nb_max_vis_prob_2,nb_max_vis_node_2,nb_average_vis_prob,nb_median_vis_prob,nb_stdev_vis_prob,nb_max_vis_prob_rev,nb_max_vis_node_rev,nb_max_vis_prob_2_rev,nb_max_vis_node_2_rev,nb_average_vis_prob_rev,nb_median_vis_prob_rev,nb_stdev_vis_prob_rev,lrv_max_vis_prob,lrv_max_vis_node,lrv_max_vis_prob_2,lrv_max_vis_node_2,lrv_average_vis_prob,lrv_median_vis_prob,lrv_stdev_vis_prob,lrv_max_vis_prob_rev,lrv_max_vis_node_rev,lrv_max_vis_prob_2_rev,lrv_max_vis_node_2_rev,lrv_average_vis_prob_rev,lrv_median_vis_prob_rev,lrv_stdev_vis_prob_rev
BOU,PRI,0.552,HOU,0.511,PIT,0.384,0.383,0.104,0.543,HOU,0.491,PIT,0.376,0.344,0.088,0.56,HOU,0.526,PIT,0.382,0.36,0.107,0.545,PIT,0.539,HOU,0.384,0.366,0.094,0.654,HOU,0.57,PIT,0.458,0.43,0.099,0.656,PIT,0.621,HOU,0.471,0.501,0.101
BOU,ITH,0.556,HOU,0.492,PIT,0.373,0.358,0.108,0.565,HOU,0.51,PIT,0.379,0.347,0.093,0.556,HOU,0.527,PIT,0.385,0.362,0.105,0.554,PIT,0.539,HOU,0.392,0.361,0.092,0.652,HOU,0.58,PIT,0.459,0.432,0.099,0.652,PIT,0.621,HOU,0.472,0.501,0.101
BOU,LNK,0.22,CMI,0.152,HOU,0.128,0.12,0.034,0.293,CMI,0.214,PIT,0.187,0.181,0.038,0.347,CMI,0.242,HOU,0.198,0.188,0.056,0.421,CMI,0.302,PIT,0.263,0.246,0.059,0.471,CMI,0.387,HOU,0.33,0.321,0.057,0.465,CMI,0.352,HOU,0.305,0.288,0.061
PIT,SEA,0.631,CMI,0.376,HOU,0.298,0.289,0.117,0.581,CMI,0.423,HOU,0.322,0.297,0.094,0.573,CMI,0.453,HOU,0.326,0.301,0.108,0.543,CMI,0.495,HOU,0.35,0.338,0.092,0.595,CMI,0.505,HOU,0.397,0.39,0.091,0.558,CMI,0.54,HOU,0.406,0.403,0.112
PIT,SAN,0.536,HOU,0.481,CMI,0.335,0.312,0.102,0.605,HOU,0.431,CMI,0.356,0.337,0.088,0.518,HOU,0.501,CMI,0.346,0.317,0.103,0.588,HOU,0.434,CMI,0.355,0.336,0.091,0.546,CMI,0.53,HOU,0.405,0.403,0.091,0.596,HOU,0.512,PAO,0.41,0.399,0.099
PIT,SLC,0.45,ARB,0.386,HOU,0.33,0.335,0.062,0.483,ARB,0.426,HOU,0.338,0.336,0.072,0.422,CMI,0.415,ARB,0.323,0.306,0.07,0.441,ARB,0.43,HOU,0.331,0.319,0.066,0.464,ARB,0.456,HOU,0.38,0.384,0.064,0.532,HOU,0.45,ARB,0.385,0.374,0.072
PIT,PRI,0.287,ITH,0.25,CPK,0.148,0.11,0.069,0.281,ITH,0.28,CPK,0.178,0.147,0.061,0.341,ITH,0.328,CPK,0.202,0.166,0.079,0.362,CPK,0.35,ARB,0.243,0.213,0.074,0.418,ARB,0.414,ITH,0.297,0.266,0.079,0.453,CPK,0.446,ARB,0.318,0.285,0.09
PRI,SEA,0.575,PIT,0.528,HOU,0.425,0.416,0.081,0.606,PIT,0.538,CMI,0.426,0.415,0.084,0.567,PIT,0.549,HOU,0.43,0.454,0.093,0.597,PIT,0.562,HOU,0.436,0.424,0.093,0.672,PIT,0.634,HOU,0.503,0.516,0.094,0.63,PIT,0.614,HOU,0.496,0.516,0.09
PRI,SAN,0.627,HOU,0.512,PIT,0.413,0.404,0.088,0.676,HOU,0.541,PIT,0.418,0.398,0.107,0.603,HOU,0.565,PIT,0.429,0.437,0.094,0.636,HOU,0.569,PIT,0.429,0.409,0.098,0.654,PIT,0.653,HOU,0.503,0.513,0.091,0.694,HOU,0.613,PIT,0.504,0.508,0.09
PRI,SLC,0.588,ARB,0.407,PIT,0.33,0.315,0.097,0.635,ARB,0.4,PIT,0.318,0.284,0.119,0.552,ARB,0.49,PIT,0.354,0.336,0.094,0.586,ARB,0.466,PIT,0.34,0.326,0.109,0.601,PIT,0.555,HOU,0.436,0.42,0.098,0.59,ARB,0.537,HOU,0.414,0.4,0.096
ITH,SEA,0.568,PIT,0.518,HOU,0.421,0.425,0.082,0.613,PIT,0.528,CMI,0.433,0.425,0.084,0.578,PIT,0.561,HOU,0.431,0.444,0.093,0.6,PIT,0.559,HOU,0.437,0.426,0.092,0.669,PIT,0.632,HOU,0.505,0.508,0.092,0.632,PIT,0.628,HOU,0.504,0.527,0.089
ITH,PAO,0.531,SLC,0.504,PIT,0.41,0.417,0.081,0.574,SLC,0.532,ARB,0.426,0.408,0.088,0.541,SLC,0.54,PIT,0.42,0.426,0.093,0.57,SLC,0.552,PIT,0.427,0.413,0.097,0.647,PIT,0.632,HOU,0.505,0.514,0.087,0.618,HOU,0.605,SLC,0.493,0.499,0.092
ITH,SAN,0.611,HOU,0.529,PIT,0.419,0.413,0.086,0.663,HOU,0.52,PIT,0.414,0.389,0.103,0.604,HOU,0.567,PIT,0.427,0.438,0.096,0.639,HOU,0.565,PIT,0.423,0.403,0.102,0.658,HOU,0.655,PIT,0.505,0.516,0.091,0.69,HOU,0.617,PIT,0.505,0.509,0.089
ITH,SLC,0.586,ARB,0.393,PIT,0.321,0.303,0.098,0.641,ARB,0.4,PIT,0.316,0.283,0.123,0.547,ARB,0.492,PIT,0.361,0.345,0.091,0.594,ARB,0.477,PIT,0.342,0.329,0.111,0.593,PIT,0.554,ARB,0.433,0.417,0.098,0.59,ARB,0.544,HOU,0.419,0.409,0.095
ITH,PIT,0.288,PRI,0.282,CPK,0.178,0.144,0.062,0.28,PRI,0.257,CPK,0.148,0.11,0.068,0.361,CPK,0.352,ARB,0.245,0.213,0.072,0.342,PRI,0.323,CPK,0.204,0.171,0.08,0.456,CPK,0.449,ARB,0.32,0.279,0.091,0.414,ARB,0.41,PRI,0.293,0.262,0.079
ITH,PRI,0.422,PIT,0.409,CPK,0.244,0.194,0.1,0.426,PIT,0.408,CPK,0.243,0.193,0.1,0.445,PIT,0.443,CPK,0.283,0.245,0.097,0.454,PIT,0.448,CPK,0.284,0.246,0.097,0.549,PIT,0.502,CPK,0.4,0.38,0.08,0.553,PIT,0.503,CPK,0.397,0.374,0.082
ITH,LNK,0.625,PIT,0.61,CMI,0.436,0.394,0.105,0.631,PIT,0.593,CMI,0.47,0.455,0.095,0.619,PIT,0.584,CMI,0.443,0.409,0.107,0.64,PIT,0.597,BOU,0.472,0.464,0.1,0.694,PIT,0.663,HOU,0.54,0.526,0.091,0.677,PIT,0.676,BOU,0.55,0.516,0.1
LNK,SEA,0.679,CMI,0.464,BOU,0.365,0.354,0.113,0.72,CMI,0.415,BOU,0.334,0.285,0.128,0.618,CMI,0.524,BOU,0.396,0.397,0.1,0.686,CMI,0.467,BOU,0.362,0.317,0.116,0.648,CMI,0.605,BOU,0.468,0.431,0.095,0.641,CMI,0.568,HOU,0.477,0.48,0.081
LNK,PAO,0.586,CMI,0.568,BOU,0.418,0.416,0.102,0.58,BOU,0.559,CMI,0.397,0.375,0.106,0.593,CMI,0.567,BOU,0.431,0.438,0.097,0.576,CMI,0.572,BOU,0.397,0.379,0.108,0.637,BOU,0.625,CMI,0.499,0.49,0.09,0.617,BOU,0.584,CMI,0.5,0.525,0.087
LNK,SAN,0.594,CMI,0.566,BOU,0.426,0.422,0.1,0.596,CMI,0.551,BOU,0.404,0.373,0.104,0.602,CMI,0.561,BOU,0.433,0.449,0.101,0.591,CMI,0.556,BOU,0.403,0.392,0.109,0.646,BOU,0.629,CMI,0.51,0.511,0.089,0.644,HOU,0.615,BOU,0.522,0.532,0.077
LNK,SLC,0.667,BOU,0.469,CMI,0.367,0.34,0.107,0.706,BOU,0.417,CMI,0.33,0.292,0.128,0.621,BOU,0.516,CMI,0.383,0.361,0.099,0.668,BOU,0.458,CMI,0.334,0.307,0.122,0.633,BOU,0.594,CMI,0.433,0.397,0.1,0.639,BOU,0.538,HOU,0.448,0.441,0.087
LNK,PIT,0.642,CMI,0.485,BOU,0.351,0.323,0.114,0.697,CMI,0.412,BOU,0.296,0.262,0.141,0.582,CMI,0.543,BOU,0.366,0.332,0.108,0.651,CMI,0.47,BOU,0.312,0.283,0.132,0.626,CMI,0.613,BOU,0.417,0.415,0.125,0.65,CMI,0.519,HOU,0.41,0.399,0.107
LNK,PRI,0.625,PIT,0.591,CMI,0.461,0.445,0.096,0.604,PIT,0.6,CMI,0.44,0.396,0.102,0.631,PIT,0.598,BOU,0.475,0.464,0.098,0.62,PIT,0.589,CMI,0.446,0.413,0.106,0.674,PIT,0.672,BOU,0.547,0.512,0.1,0.694,PIT,0.659,HOU,0.539,0.526,0.09
ARB,SEA,0.598,SLC,0.535,PAO,0.406,0.419,0.096,0.555,SLC,0.491,PIT,0.411,0.401,0.078,0.58,SLC,0.499,HOU,0.404,0.419,0.096,0.543,SLC,0.503,PIT,0.412,0.396,0.085,0.594,HOU,0.586,PIT,0.481,0.483,0.087,0.591,PIT,0.591,HOU,0.483,0.499,0.083
ARB,PAO,0.696,SLC,0.387,HOU,0.331,0.301,0.121,0.678,SLC,0.409,HOU,0.345,0.319,0.111,0.639,SLC,0.464,HOU,0.37,0.381,0.105,0.624,SLC,0.464,HOU,0.37,0.349,0.099,0.601,SLC,0.575,PIT,0.461,0.466,0.088,0.611,SLC,0.568,HOU,0.453,0.482,0.093
ARB,SAN,0.594,SLC,0.523,HOU,0.395,0.379,0.098,0.588,HOU,0.534,SLC,0.406,0.401,0.088,0.574,SLC,0.531,HOU,0.4,0.396,0.097,0.584,HOU,0.528,SLC,0.411,0.391,0.087,0.597,HOU,0.572,PIT,0.472,0.467,0.086,0.636,HOU,0.568,PIT,0.477,0.48,0.084
ARB,CMI,0.58,PIT,0.463,SLC,0.382,0.377,0.08,0.636,PIT,0.467,ITH,0.376,0.369,0.104,0.524,PIT,0.499,SLC,0.381,0.362,0.078,0.6,PIT,0.458,HOU,0.384,0.376,0.09,0.595,PIT,0.551,HOU,0.451,0.475,0.086,0.629,PIT,0.561,HOU,0.439,0.434,0.087
ARB,SLC,0.213,HOU,0.202,PIT,0.166,0.17,0.025,0.208,HOU,0.201,PIT,0.16,0.166,0.031,0.337,HOU,0.332,PIT,0.256,0.253,0.048,0.33,PIT,0.328,HOU,0.249,0.253,0.051,0.484,PIT,0.465,HOU,0.375,0.385,0.068,0.451,HOU,0.438,PIT,0.349,0.36,0.062
ARB,HOU,0.441,CPK,0.418,PIT,0.325,0.305,0.085,0.469,CPK,0.43,PRI,0.306,0.274,0.103,0.466,PIT,0.404,SLC,0.326,0.31,0.082,0.438,CPK,0.423,PIT,0.301,0.274,0.098,0.571,PIT,0.501,PRI,0.379,0.344,0.108,0.502,PIT,0.496,CPK,0.367,0.33,0.095
ARB,ATL,0.682,PIT,0.538,HOU,0.394,0.348,0.124,0.671,PIT,0.567,HOU,0.415,0.374,0.116,0.663,PIT,0.593,HOU,0.4,0.38,0.117,0.68,PIT,0.612,HOU,0.435,0.422,0.108,0.727,PIT,0.624,HOU,0.478,0.449,0.112,0.736,PIT,0.684,HOU,0.497,0.474,0.109
ARB,CPK,0.49,PRI,0.489,ITH,0.268,0.212,0.114,0.489,PRI,0.484,ITH,0.266,0.215,0.111,0.484,PRI,0.48,ITH,0.291,0.247,0.104,0.477,ITH,0.476,PRI,0.296,0.254,0.1,0.536,ITH,0.528,PIT,0.378,0.347,0.099,0.532,PIT,0.518,PRI,0.387,0.353,0.093
ARB,BOU,0.623,SLC,0.415,HOU,0.325,0.302,0.102,0.592,SLC,0.438,HOU,0.323,0.298,0.103,0.557,SLC,0.466,HOU,0.357,0.325,0.086,0.55,SLC,0.497,HOU,0.355,0.342,0.094,0.569,PIT,0.554,HOU,0.433,0.451,0.091,0.595,HOU,0.568,SLC,0.422,0.404,0.088
ARB,PIT,0.47,ITH,0.452,PRI,0.26,0.214,0.102,0.472,PRI,0.47,ITH,0.239,0.186,0.115,0.431,ITH,0.423,PRI,0.285,0.264,0.081,0.455,ITH,0.452,PRI,0.261,0.239,0.1,0.482,PRI,0.482,ITH,0.324,0.287,0.1,0.488,ITH,0.486,PRI,0.321,0.286,0.097
ARB,PRI,0.291,ITH,0.258,PIT,0.169,0.142,0.06,0.275,ITH,0.245,PIT,0.169,0.146,0.053,0.365,ITH,0.354,PIT,0.241,0.217,0.07,0.361,PIT,0.359,ITH,0.248,0.226,0.067,0.459,PIT,0.448,ITH,0.337,0.317,0.071,0.488,PIT,0.451,CPK,0.353,0.33,0.077
ARB,ITH,0.3,PRI,0.267,PIT,0.171,0.143,0.063,0.292,PRI,0.261,PIT,0.177,0.151,0.057,0.366,PRI,0.346,PIT,0.238,0.214,0.071,0.359,PRI,0.354,PIT,0.245,0.225,0.068,0.454,PIT,0.447,PRI,0.335,0.316,0.073,0.484,PIT,0.45,CPK,0.352,0.328,0.076
ARB,LNK,0.626,BOU,0.599,SLC,0.431,0.385,0.106,0.623,BOU,0.548,CMI,0.458,0.417,0.086,0.615,BOU,0.574,SLC,0.422,0.378,0.113,0.615,BOU,0.565,CMI,0.46,0.405,0.094,0.64,BOU,0.621,HOU,0.518,0.486,0.09,0.664,BOU,0.645,CMI,0.518,0.477,0.1
