source,target,throughput_kbps,mean_hops,packets
ATH,BER,0.1510570329826848,79.41379310344827,58
AMS,FRA,1.6923292329232924,10.357034795763994,661
ATH,MIL,0.37281803025129073,20.06896551724138,145
ATH,LON,0.18982883272570109,59.59722222222222,72
ATH,AMS,0.25408537685721916,57.37373737373738,99
ATH,FRA,0.22607409841452447,56.651162790697676,86
ATH,MAD,0.17672482791740482,73.84057971014492,69
AMS,COP,0.7560770493772777,11.905084745762712,295
AMS,MAD,0.5342322818845815,23.3125,208
AMS,MIL,0.62765190937475,15.036734693877552,245
AMS,LON,1.3850985098509851,7.170055452865065,541
AMS,BER,0.7953657118803746,14.219354838709677,310
AMS,ATH,0.17979756248708967,50.955882352941174,68
AMS,PAR,1.3840054463177287,12.83148148148148,540
AMS,VIE,0.5429045875597747,23.04245283018868,212
ATH,COP,0.1617701901959985,85.01639344262296,61
ATH,PAR,0.20260468843919113,47.88607594936709,79
ATH,VIE,0.3050203966234503,36.23728813559322,118
BER,AMS,0.7201954266949663,10.217081850533807,281
BER,FRA,0.6157670027460964,16.595833333333335,240
BER,COP,1.6616061606160617,7.194144838212635,649
BER,ATH,0.17249617151607985,64.84848484848484,66
BER,MIL,0.44319910335441537,25.034682080924856,173
COP,AMS,0.7048175884025469,14.974545454545455,275
BER,VIE,0.4125455754084195,29.2625,160
BER,LON,0.45865278750875826,33.53072625698324,179
BER,MAD,0.31822627975220125,43.68032786885246,122
COP,FRA,0.6095603977829808,22.945378151260503,238
COP,BER,1.6232023202320234,9.837539432176657,634
BER,PAR,0.4969978384436795,22.891752577319586,194
COP,MAD,0.3090142804533739,38.92372881355932,118
COP,ATH,0.12611091004142055,84.71428571428571,49
COP,MIL,0.33992864093415553,26.763358778625953,131
COP,LON,0.43077786013341723,29.43452380952381,168
COP,PAR,0.4697104857675777,22.39779005524862,181
COP,VIE,0.39740333051086657,29.935064935064936,154
FRA,AMS,1.781938193819382,9.514367816091953,696
FRA,ATH,0.18431833853892043,41.605633802816904,71
FRA,BER,0.6436542121606741,14.752988047808765,251
FRA,COP,0.5507965735329439,15.232558139534884,215
FRA,MIL,0.9054480416390348,10.715909090909092,352
FRA,LON,0.848344079131793,13.045317220543806,331
FRA,PAR,1.1796998657610551,11.034782608695652,460
LON,ATH,0.16458150499010163,58.61904761904762,63
FRA,MAD,0.6662245533650852,20.957528957528957,259
LON,COP,0.5238355720334698,29.53960396039604,202
FRA,VIE,0.858232625366363,18.080838323353294,334
LON,AMS,1.4414241424142415,11.948490230905861,563
LON,BER,0.4549488945561177,22.80225988700565,177
LON,MAD,0.5286805149799529,23.390243902439025,205
LON,MIL,0.6847388351265254,21.352059925093634,267
LON,VIE,0.4872282880897532,31.089473684210525,190
LON,FRA,1.0301706705492197,18.22613065326633,398
MAD,AMS,0.619711519145005,24.070539419087137,241
MAD,LON,0.6342353908804595,29.323886639676115,247
LON,PAR,1.7691369136913693,11.031837916063676,691
MAD,PAR,0.96101497570964,18.6951871657754,374
MAD,BER,0.3649843170801264,37.77857142857143,140
MAD,FRA,0.6279912689989396,24.759183673469387,245
MAD,ATH,0.15204079542894622,65.74137931034483,58
MAD,MIL,0.7373893494449977,13.365853658536585,287
MAD,COP,0.31129549774171816,42.436974789915965,119
MAD,VIE,0.5895162104837897,32.8859649122807,228
MIL,AMS,0.7969951995500846,15.45483870967742,310
MIL,ATH,0.29062601362309476,15.098214285714286,112
MIL,BER,0.470834170854274,20.229508196721312,183
MIL,COP,0.35193770445742284,24.094890510948904,137
MIL,FRA,0.9918496808126229,14.958549222797927,386
MIL,MAD,0.7688537104745082,14.535117056856187,299
MIL,VIE,1.4286228622862287,8.799283154121865,558
MIL,PAR,0.8908500140398737,14.005763688760807,347
PAR,AMS,1.3891313924152018,11.27859778597786,542
PAR,ATH,0.16371277178878166,45.65079365079365,63
PAR,BER,0.4079456393192889,21.92452830188679,159
PAR,FRA,1.252059572250396,13.76844262295082,488
PAR,LON,1.6641664166416643,5.712307692307692,650
PAR,COP,0.3605053512513077,24.09285714285714,140
PAR,MAD,0.9224715943309111,11.334261838440112,359
MIL,LON,0.7114535677020627,22.67870036101083,277
PAR,MIL,0.851367324451569,13.364457831325302,332
PAR,VIE,0.5670187816953638,22.285067873303166,221
VIE,ATH,0.21317922786740515,21.44578313253012,83
VIE,BER,0.4686674669867968,23.94535519125683,183
VIE,AMS,0.6987376322074383,21.058823529411764,272
VIE,FRA,0.9283725030554391,17.099447513812155,362
VIE,PAR,0.6824750947102569,22.94360902255639,266
VIE,MIL,1.4823882388238823,11.858376511226252,579
VIE,LON,0.5071132721051689,25.792929292929294,198
VIE,COP,0.4204033404762384,26.798780487804876,164
VIE,MAD,0.4774778388351858,26.059139784946236,186
