destination,mean_hops,std_hops,min_hops,max_hops,packets
STP,1.0,0.0,1,1,390
ERD,1.7833675564681726,0.7329797378602915,1,3,974
SIE,1.9819724284199365,1.1246272064237852,1,6,943
GUD,1.9915074309978769,1.1389327422398805,1,6,942
FRM,2.831081081081081,0.9821963358079213,2,7,296
