source,target,lrv_tput,shortest,max_flow,longest,lrv_hops,node_conn,lrv_max_vis_prob,lrv_max_vis_node,lrv_mf_eff,lrv_nc_eff,lrv_inflation
BUD,HEL,0.803,7,2,29,19.565,2,0.741,PRA,0.4,0.21,2.8
BUD,STO,0.614,8,2,31,22.072,2,0.748,POZ,0.31,0.15,2.76
BUD,KAU,0.741,5,2,32,20.472,2,0.778,POZ,0.37,0.16,4.09
BUD,RIG,0.768,6,2,31,20.728,2,0.775,POZ,0.38,0.17,3.45
BUD,GEN,1.397,4,3,30,13.59,2,0.752,MIL,0.47,0.35,3.4
BUD,MAR,1.106,4,3,30,15.368,2,0.822,MIL,0.37,0.2,3.84
BUD,PAR,1.176,5,3,30,14.614,2,0.75,MIL,0.39,0.29,2.92
BUD,LJU,1.515,2,2,31,12.784,2,0.701,ZAG,0.76,0.45,6.39
BUD,ZAG,2.089,1,3,30,8.982,3,0.376,SOF,0.7,0.65,8.98
BUD,HAM,0.915,6,2,32,18.401,2,0.71,PRA,0.46,0.27,3.07
BUD,SOF,2.348,2,3,30,9.401,3,0.445,ZAG,0.78,0.65,4.7
BUD,TAR,0.763,7,2,30,20.47,2,0.782,PRA,0.38,0.17,2.92
BUD,LIS,0.753,6,2,33,19.333,2,0.848,MIL,0.38,0.11,3.22
BUD,POR,0.77,7,2,32,19.68,2,0.847,MIL,0.39,0.12,2.81
BUD,COP,0.857,6,2,31,18.553,2,0.738,PRA,0.43,0.22,3.09
BUD,LON,0.948,6,3,33,17.817,2,0.769,MIL,0.32,0.22,2.97
BUD,IST,0.963,3,2,32,13.501,1,1.0,SOF,0.48,-1.0,4.5
BUD,DUB,0.786,7,2,32,19.713,2,0.858,PAR,0.39,0.11,2.82
BUD,SIN,0.459,7,1,34,21.924,1,1.0,LIS,0.46,-1.0,3.13
BUD,MIL,2.539,3,3,25,9.814,3,0.447,ZAG,0.85,0.7,3.27
BUD,LUX,0.902,5,2,32,19.117,2,0.744,MIL,0.45,0.23,3.82
BUD,TIR,1.225,3,2,31,14.432,2,0.626,SOF,0.61,0.46,4.81
BUD,POZ,0.939,4,2,31,16.631,2,0.735,PRA,0.47,0.25,4.16
BUD,THE,0.99,3,2,32,12.484,1,1.0,SOF,0.49,-1.0,4.16
BUD,COR,0.783,6,2,33,19.896,2,0.85,PAR,0.39,0.12,3.32
BUD,FRA,1.321,4,3,31,14.427,2,0.702,MIL,0.44,0.39,3.61
BUD,MAD,0.927,5,2,30,17.69,2,0.832,MIL,0.46,0.16,3.54
BUD,POD,0.893,2,1,31,13.236,1,1.0,ZAG,0.89,-1.0,6.62
BUD,SKO,1.264,3,2,29,13.525,2,0.733,SOF,0.63,0.34,4.51
BUD,OSL,0.62,7,2,31,21.603,2,0.738,COP,0.31,0.16,3.09
BUD,KIE,0.541,5,1,32,23.042,1,1.0,POZ,0.54,-1.0,4.61
BUD,NIC,0.667,5,1,34,14.82,1,1.0,SOF,0.67,-1.0,2.96
POD,PRA,0.876,5,1,31,20.034,1,1.0,ZAG,0.88,-1.0,4.01
POD,VIE,0.964,4,1,29,16.39,1,1.0,ZAG,0.96,-1.0,4.1
POD,STO,0.633,10,1,32,33.372,1,1.0,ZAG,0.63,-1.0,3.34
POD,RIG,0.707,8,1,33,30.216,1,1.0,ZAG,0.71,-1.0,3.78
POD,ZAG,1.0,1,1,1,1.0,1,0.0,---,1.0,-1.0,1.0
POD,SOF,0.999,3,1,30,13.242,1,1.0,ZAG,1.0,-1.0,4.41
POD,TAR,0.72,9,1,32,30.472,1,1.0,ZAG,0.72,-1.0,3.39
POD,POR,0.76,7,1,33,30.697,1,1.0,ZAG,0.76,-1.0,4.39
POD,SIN,0.522,7,1,35,36.589,1,1.0,ZAG,0.52,-1.0,5.23
POD,TIR,0.866,4,1,32,23.568,1,1.0,ZAG,0.87,-1.0,5.89
POD,POZ,0.787,6,1,32,24.121,1,1.0,ZAG,0.79,-1.0,4.02
POD,THE,0.838,4,1,32,25.539,1,1.0,ZAG,0.84,-1.0,6.38
POD,SKO,0.965,3,1,32,24.863,1,1.0,ZAG,0.96,-1.0,8.29
SKO,VIE,1.406,4,2,30,15.458,2,0.785,SOF,0.7,0.3,3.86
SKO,STO,0.619,10,2,33,27.345,2,0.848,MIL,0.31,0.09,2.73
SKO,ZAG,1.785,2,2,31,12.856,2,0.727,BEL,0.89,0.49,6.43
SKO,SOF,1.998,1,2,31,5.812,2,0.5,BEL,1.0,1.0,5.81
SKO,TAR,0.722,9,2,30,26.055,2,0.853,SOF,0.36,0.11,2.9
SKO,TIR,1.352,2,2,32,17.657,2,0.889,SOF,0.68,0.15,8.83
SKO,THE,1.403,2,2,33,17.084,1,1.0,SOF,0.7,-1.0,8.54
OSL,PRA,1.134,4,2,31,15.486,2,0.82,COP,0.57,0.2,3.87
OSL,VIE,0.955,5,2,31,18.515,2,0.845,COP,0.48,0.15,3.7
OSL,STO,1.811,1,2,31,12.909,2,0.448,HEL,0.91,1.0,12.91
OSL,RIG,1.43,4,2,30,18.088,2,0.725,COP,0.71,0.39,4.52
OSL,PAR,1.011,5,2,31,15.992,2,0.832,COP,0.51,0.17,3.2
OSL,ZAG,0.755,8,2,31,22.015,2,0.847,COP,0.38,0.12,2.75
OSL,SOF,0.76,8,2,30,20.68,2,0.841,COP,0.38,0.12,2.58
OSL,TAR,1.389,3,2,31,18.064,2,0.72,COP,0.69,0.39,6.02
OSL,POR,0.613,7,2,33,24.326,2,0.865,COP,0.31,0.08,3.48
OSL,SIN,0.412,9,1,35,28.063,1,1.0,LIS,0.41,-1.0,3.12
OSL,TIR,0.646,7,2,33,25.465,2,0.863,MIL,0.32,0.09,3.64
OSL,POZ,1.609,3,2,28,12.222,2,0.747,COP,0.8,0.41,4.07
OSL,THE,0.529,9,2,32,27.656,1,1.0,SOF,0.26,-1.0,3.07
OSL,POD,0.432,9,1,32,30.686,1,1.0,ZAG,0.43,-1.0,3.41
OSL,SKO,0.608,9,2,33,27.606,2,0.845,COP,0.3,0.09,3.07
KIE,PRA,0.998,2,1,32,14.637,1,1.0,POZ,1.0,-1.0,7.32
KIE,VIE,0.922,3,1,31,19.563,1,1.0,POZ,0.92,-1.0,6.52
KIE,STO,0.853,5,1,28,25.297,1,1.0,POZ,0.85,-1.0,5.06
KIE,RIG,0.997,3,1,31,23.183,1,1.0,POZ,1.0,-1.0,7.73
KIE,MAR,0.819,5,1,32,23.006,1,1.0,POZ,0.82,-1.0,4.6
KIE,PAR,0.898,5,1,32,18.529,1,1.0,POZ,0.9,-1.0,3.71
KIE,LJU,0.758,5,1,33,27.941,1,1.0,POZ,0.76,-1.0,5.59
KIE,ZAG,0.791,6,1,32,24.077,1,1.0,POZ,0.79,-1.0,4.01
KIE,SOF,0.795,6,1,31,23.407,1,1.0,POZ,0.8,-1.0,3.9
KIE,TAR,0.996,4,1,30,23.556,1,1.0,POZ,1.0,-1.0,5.89
KIE,LIS,0.682,7,1,35,28.525,1,1.0,POZ,0.68,-1.0,4.08
KIE,POR,0.687,7,1,34,29.205,1,1.0,POZ,0.69,-1.0,4.17
KIE,LON,0.842,5,1,35,23.411,1,1.0,POZ,0.84,-1.0,4.68
KIE,SIN,0.461,8,1,36,33.825,1,1.0,LIS,0.46,-1.0,4.23
KIE,MIL,0.936,4,1,33,17.695,1,1.0,POZ,0.94,-1.0,4.42
KIE,LUX,0.849,4,1,34,24.437,1,1.0,POZ,0.85,-1.0,6.11
KIE,TIR,0.717,5,1,34,29.006,1,1.0,POZ,0.72,-1.0,5.8
KIE,POZ,1.0,1,1,1,1.0,1,0.0,---,1.0,-1.0,1.0
KIE,THE,0.645,7,1,33,32.015,1,1.0,SOF,0.65,-1.0,4.57
KIE,MAD,0.749,6,1,32,25.343,1,1.0,POZ,0.75,-1.0,4.22
KIE,POD,0.553,7,1,33,35.381,1,1.0,ZAG,0.55,-1.0,5.05
