source,target,r_max_vis_prob,r_max_vis_node,r_max_vis_prob_2,r_max_vis_node_2,r_average_vis_prob,r_median_vis_prob,r_stdev_vis_prob,r_max_vis_prob_rev,r_max_vis_node_rev,r_max_vis_prob_2_rev,r_max_vis_node_2_rev,r_average_vis_prob_rev,r_median_vis_prob_rev,r_stdev_vis_prob_rev,nb_max_vis_prob,nb_max_vis_node,nb_max_vis_prob_2,nb_max_vis_node_2,nb_average_vis_prob,nb_median_vis_prob,nb_stdev_vis_prob,nb_max_vis_prob_rev,nb_max_vis_node_rev,nb_max_vis_prob_2_rev,nb_max_vis_node_2_rev,nb_average_vis_prob_rev,nb_median_vis_prob_rev,nb_stdev_vis_prob_rev,lrv_max_vis_prob,lrv_max_vis_node,lrv_max_vis_prob_2,lrv_max_vis_node_2,lrv_average_vis_prob,lrv_median_vis_prob,lrv_stdev_vis_prob,lrv_max_vis_prob_rev,lrv_max_vis_node_rev,lrv_max_vis_prob_2_rev,lrv_max_vis_node_2_rev,lrv_average_vis_prob_rev,lrv_median_vis_prob_rev,lrv_stdev_vis_prob_rev
BEL,VIE,0.649,MIL,0.62,ZAG,0.21,0.166,0.158,0.623,MIL,0.603,ZAG,0.184,0.113,0.172,0.599,ZAG,0.598,MIL,0.224,0.181,0.146,0.651,SOF,0.615,MIL,0.204,0.142,0.161,0.667,MIL,0.651,SOF,0.263,0.22,0.14,0.694,MIL,0.668,SOF,0.272,0.247,0.14
BEL,BRA,0.704,BUD,0.66,ZAG,0.219,0.168,0.147,0.74,BUD,0.629,ZAG,0.205,0.143,0.156,0.667,BUD,0.625,SOF,0.257,0.197,0.14,0.712,BUD,0.678,SOF,0.239,0.186,0.146,0.667,SOF,0.641,MIL,0.32,0.284,0.132,0.684,SOF,0.684,BUD,0.296,0.26,0.134
BEL,HEL,0.873,MIL,0.795,PRA,0.493,0.52,0.219,0.898,MIL,0.838,PRA,0.495,0.501,0.214,0.787,MIL,0.763,PRA,0.433,0.435,0.18,0.798,MIL,0.761,PRA,0.453,0.429,0.17,0.81,MIL,0.747,PRA,0.455,0.459,0.176,0.801,MIL,0.717,COP,0.46,0.441,0.171
BEL,STO,0.896,COP,0.879,MIL,0.527,0.558,0.223,0.918,MIL,0.912,COP,0.555,0.603,0.207,0.8,MIL,0.774,COP,0.477,0.493,0.188,0.811,MIL,0.783,PRA,0.492,0.508,0.172,0.83,MIL,0.763,COP,0.498,0.507,0.178,0.821,MIL,0.792,COP,0.505,0.498,0.168
BEL,KAU,0.893,POZ,0.887,MIL,0.474,0.524,0.215,0.922,POZ,0.884,MIL,0.475,0.47,0.208,0.794,PRA,0.79,POZ,0.443,0.423,0.184,0.845,POZ,0.821,PRA,0.448,0.435,0.177,0.822,MIL,0.792,POZ,0.467,0.466,0.174,0.841,POZ,0.801,PRA,0.458,0.427,0.168
BEL,RIG,0.864,MIL,0.863,POZ,0.503,0.532,0.214,0.897,MIL,0.866,PRA,0.524,0.559,0.198,0.8,PRA,0.789,MIL,0.456,0.438,0.18,0.795,POZ,0.792,MIL,0.468,0.448,0.17,0.835,MIL,0.787,POZ,0.475,0.479,0.177,0.799,POZ,0.781,MIL,0.468,0.448,0.162
BEL,GEN,0.913,MIL,0.605,ZAG,0.216,0.143,0.191,0.924,MIL,0.59,ZAG,0.192,0.087,0.205,0.856,MIL,0.635,SOF,0.262,0.199,0.165,0.875,MIL,0.662,SOF,0.222,0.144,0.182,0.846,MIL,0.675,SOF,0.298,0.237,0.16,0.877,MIL,0.667,SOF,0.263,0.199,0.164
BEL,MAR,0.945,MIL,0.629,ZAG,0.253,0.178,0.188,0.967,MIL,0.606,SOF,0.224,0.135,0.2,0.892,MIL,0.619,SOF,0.293,0.233,0.164,0.917,MIL,0.686,SOF,0.266,0.194,0.177,0.9,MIL,0.692,SOF,0.336,0.284,0.166,0.921,MIL,0.696,SOF,0.319,0.27,0.165
BEL,BIL,0.931,MIL,0.781,GEN,0.366,0.326,0.204,0.936,MIL,0.758,GEN,0.362,0.285,0.204,0.89,MIL,0.703,MAR,0.363,0.305,0.177,0.884,MIL,0.698,SOF,0.37,0.305,0.178,0.904,MIL,0.722,MAR,0.39,0.331,0.175,0.848,MIL,0.684,SOF,0.411,0.393,0.162
BEL,PAR,0.918,MIL,0.758,GEN,0.299,0.222,0.201,0.913,MIL,0.771,GEN,0.286,0.219,0.21,0.834,MIL,0.629,GEN,0.306,0.24,0.174,0.852,MIL,0.675,GEN,0.293,0.244,0.184,0.847,MIL,0.67,SOF,0.327,0.271,0.168,0.843,MIL,0.698,GEN,0.314,0.268,0.169
