graph_id,graph_label,variant,erase_loops,src,tgt,exposure_pct
nsfnet,NSFNet,HS,False,CPK,PAO,56.800000
nsfnet,NSFNet,HS,False,CPK,SAN,64.300000
nsfnet,NSFNet,HS,False,CPK,CMI,63.400000
nsfnet,NSFNet,HS,False,CPK,SLC,49.800000
nsfnet,NSFNet,HS,False,CPK,HOU,0.000000
nsfnet,NSFNet,HS,False,CPK,ATL,53.400000
nsfnet,NSFNet,HS,False,CPK,BOU,58.400000
nsfnet,NSFNet,HS,False,CPK,PIT,36.500000
nsfnet,NSFNet,HS,False,CPK,PRI,0.000000
nsfnet,NSFNet,HS,False,CPK,ITH,0.000000
nsfnet,NSFNet,HS,False,CPK,LNK,60.800000
nsfnet,NSFNet,HS,False,CPK,ARB,39.900000
nsfnet,NSFNet,HS,False,BOU,SEA,50.800000
nsfnet,NSFNet,HS,False,BOU,PAO,57.500000
nsfnet,NSFNet,HS,False,BOU,SAN,55.100000
nsfnet,NSFNet,HS,False,BOU,CMI,42.900000
nsfnet,NSFNet,HS,False,BOU,SLC,0.000000
nsfnet,NSFNet,HS,False,BOU,HOU,0.000000
nsfnet,NSFNet,HS,False,BOU,ATL,56.800000
nsfnet,NSFNet,HS,False,BOU,CPK,56.200000
nsfnet,NSFNet,HS,False,BOU,PIT,49.200000
nsfnet,NSFNet,HS,False,BOU,PRI,52.000000
nsfnet,NSFNet,HS,False,BOU,ITH,52.000000
nsfnet,NSFNet,HS,False,BOU,LNK,0.000000
nsfnet,NSFNet,HS,False,BOU,ARB,53.600000
nsfnet,NSFNet,HS,False,PIT,SEA,54.100000
nsfnet,NSFNet,HS,False,PIT,PAO,54.800000
nsfnet,NSFNet,HS,False,PIT,SAN,63.200000
nsfnet,NSFNet,HS,False,PIT,CMI,0.000000
nsfnet,NSFNet,HS,False,PIT,SLC,48.300000
nsfnet,NSFNet,HS,False,PIT,HOU,37.200000
nsfnet,NSFNet,HS,False,PIT,ATL,0.000000
nsfnet,NSFNet,HS,False,PIT,CPK,41.200000
nsfnet,NSFNet,HS,False,PIT,BOU,55.200000
nsfnet,NSFNet,HS,False,PIT,PRI,0.000000
nsfnet,NSFNet,HS,False,PIT,ITH,0.000000
nsfnet,NSFNet,HS,False,PIT,LNK,55.700000
nsfnet,NSFNet,HS,False,PIT,ARB,36.800000
nsfnet,NSFNet,HS,False,PRI,SEA,61.300000
nsfnet,NSFNet,HS,False,PRI,PAO,58.200000
nsfnet,NSFNet,HS,False,PRI,SAN,64.400000
nsfnet,NSFNet,HS,False,PRI,CMI,65.700000
