source,target,longest_simple_approx
SIE,BRE,3
SIE,GUD,3
SIE,ERD,3
SIE,FRM,4
SIE,STP,4
BRE,GUD,3
BRE,ERD,3
BRE,FRM,4
BRE,STP,1
GUD,ERD,3
GUD,FRM,4
GUD,STP,4
ERD,FRM,1
ERD,STP,4
FRM,STP,5
