source,target,r_min_hops,r_max_hops,r_mean_hops,r_q1_hops,r_q2_hops,r_q3_hops,r_min_hops_rev,r_max_hops_rev,r_mean_hops_rev,r_q1_hops_rev,r_q2_hops_rev,r_q3_hops_rev,nb_min_hops,nb_max_hops,nb_mean_hops,nb_q1_hops,nb_q2_hops,nb_q3_hops,nb_min_hops_rev,nb_max_hops_rev,nb_mean_hops_rev,nb_q1_hops_rev,nb_q2_hops_rev,nb_q3_hops_rev,lrv_min_hops,lrv_max_hops,lrv_mean_hops,lrv_q1_hops,lrv_q2_hops,lrv_q3_hops,lrv_min_hops_rev,lrv_max_hops_rev,lrv_mean_hops_rev,lrv_q1_hops_rev,lrv_q2_hops_rev,lrv_q3_hops_rev
PRI,SEA,3,54,9.352,5,8,12,3,56,9.321,5,8,12,3,37,6.613,4,6,8,3,32,6.758,4,6,8,3,15,7.119,5,7,9,3,15,7.037,5,7,9
PRI,SAN,3,48,8.981,5,7,11,3,56,9.304,5,7,12,3,38,6.663,4,6,8,3,35,6.651,4,6,8,3,16,7.172,5,7,9,3,15,7.18,5,7,9
PRI,SLC,2,62,7.814,2,5,10,2,69,7.332,2,5,10,2,43,5.948,2,5,8,2,38,5.614,2,5,7,2,18,6.355,4,6,9,2,16,6.037,4,6,8
ITH,SEA,3,44,9.139,5,7,12,3,54,9.46,5,8,12,3,35,6.644,4,6,8,3,42,6.761,4,6,8,3,15,7.138,5,7,9,3,15,7.139,5,7,9
ITH,PAO,3,75,8.928,5,7,11,3,63,9.347,5,7,12,3,34,6.503,4,6,8,3,33,6.65,4,6,8,3,17,7.201,5,7,9,3,16,7.027,5,7,9
ITH,SAN,3,46,9.226,5,7,12,3,62,9.071,5,7,12,3,32,6.637,4,6,8,3,41,6.584,4,6,8,3,16,7.196,5,7,9,3,15,7.193,5,7,9
ITH,SLC,2,55,7.539,2,5,10,2,66,7.271,2,5,10,2,39,6.046,2,5,8,2,34,5.65,2,5,7,2,18,6.314,4,6,9,2,16,6.101,4,6,9
ITH,PIT,1,107,5.172,1,1,5,1,71,4.149,1,1,4,1,41,4.552,1,3,6,1,37,3.837,1,3,6,1,17,4.935,1,3,8,1,17,4.645,1,3,8
ITH,PRI,2,104,6.87,2,2,7,2,121,6.874,2,2,7,2,52,5.382,2,2,7,2,59,5.409,2,2,7,2,19,6.173,2,5,10,2,19,6.134,2,5,10
ITH,LNK,3,58,10.3,5,8,14,3,116,11.373,5,9,15,3,44,7.299,4,6,9,3,51,7.919,4,6,10,3,17,7.636,5,8,10,3,16,7.791,5,8,10
