Source,Target,Distance_km
SIE,STP,58.6
BRE,SIE,13.1
BRE,GUD,3.1
BRE,ERD,6.6
BRE,FRM,5.9
BRE,STP,51.0
GUD,SIE,10.9
GUD,STP,54.0
ERD,SIE,7.7
ERD,GUD,3.6
ERD,FRM,0.7
ERD,STP,56.5
FRM,SIE,8.0
FRM,GUD,3.0
FRM,STP,55.9
