Source,Target,VConn
BRE,ERD,3
BRE,FRM,1
BRE,GUD,3
BRE,SIE,3
BRE,STP,1
ERD,BRE,3
ERD,FRM,1
ERD,GUD,3
ERD,SIE,3
ERD,STP,1
FRM,BRE,1
FRM,ERD,1
FRM,GUD,1
FRM,SIE,1
FRM,STP,1
GUD,BRE,3
GUD,ERD,3
GUD,FRM,1
GUD,SIE,3
GUD,STP,1
SIE,BRE,3
SIE,ERD,3
SIE,FRM,1
SIE,GUD,3
SIE,STP,1
STP,BRE,1
STP,ERD,1
STP,FRM,1
STP,GUD,1
STP,SIE,1
